year,jpy_per_usd,aud_per_usd,jpy_per_aud
1960,360.000000359,0.892856999892857,403.20006496247447
1961,360.000000359,0.892856999892857,403.20006496247447
1962,360.000000359,0.892856999892857,403.20006496247447
1963,360.000000359,0.892856999892857,403.20006496247447
1964,360.000000359,0.892856999892857,403.20006496247447
1965,360.000000359,0.892856999892857,403.20006496247447
1966,360.000000359,0.892856999892857,403.20006496247447
1967,360.000000359,0.892856999892857,403.20006496247447
1968,360.000000359,0.892856999892857,403.20006496247447
1969,360.000000359,0.892856999892857,403.20006496247447
1970,360.000000359,0.892856999892857,403.20006496247447
1971,350.677693533362,0.882670259295548,397.29184238430673
1972,303.172499999,0.838697807262207,361.48001982818755
1973,271.701666666083,0.704113907966658,385.8774320346885
1974,292.08249999925,0.696665868638096,419.2576572901995
1975,296.787499999167,0.763871249,388.53079021850573
1976,296.552499999167,0.818284082333333,362.4077583833099
1977,268.509999999333,0.901824999,297.7406928140977
1978,210.441666666,0.873659249,240.87384973818322
1979,219.139999999333,0.894640915666666,244.9474377505246
1980,226.740833332833,0.878244332333333,258.1751170889136
1981,220.53583333275,0.870214582333333,253.4269567644115
1982,249.076666665833,0.985862832333333,252.64839944956657
1983,237.511666666083,1.11001499916667,213.97158312670726
1984,237.522499999333,1.13951916591667,208.4409873073626
1985,238.53583333275,1.4318949995,166.58751753169312
1986,168.519833333083,1.49597416641667,112.64889268558773
1987,144.6375,1.42818,101.27399907574674
1988,128.151666666667,1.27990833333333,100.12566004075865
1989,137.964416666667,1.26459666666667,109.09756470442485
1990,144.7925,1.28105666666667,113.02583544313647
1991,134.706666666667,1.28375583333333,104.93168807412157
1992,126.651333333333,1.36164833333333,93.0132474243839
1993,111.197785833333,1.47056,75.61594619283333
1994,102.207805833333,1.36775083333333,74.72691907212626
1995,94.0595791666667,1.3490325,69.72373101957639
1996,108.779056666667,1.27786333333333,85.1257359289861
1997,120.9908625,1.34738,89.79713406759785
1998,130.905300666667,1.59182833333333,82.23581521039262
1999,113.906805,1.54995,73.49063195586955
2000,107.765498333333,1.72482666666667,62.479030743185476
2001,121.5289475,1.9334425,62.85625122029748
2002,125.388019166667,1.8405625,68.12483638380495
2003,115.933464166667,1.54191416666667,75.18801414043264
2004,108.192569166667,1.3597525,79.56783985811168
2005,110.218211666667,1.30947333333333,84.16987872987151
2006,116.299311666667,1.3279734405,87.57653437924084
2007,117.753529166667,1.1950725,98.53254021548231
2008,103.359493968254,1.19217833333333,86.69801411275519
2009,93.5700890870456,1.28218881008452,72.97684112597862
2010,87.779875,1.09015948638677,80.5202138734196
2011,79.8070198321892,0.969463201496735,82.32083457007623
2012,79.7904554170065,0.965801030658708,82.61583171285993
2013,97.5956582776385,1.03584309652054,94.21857287601593
2014,105.944781034025,1.10936329281692,95.500528744743
2015,121.044025684011,1.33109026245502,90.93600118504457
2016,108.792900046834,1.34521397601947,80.87404828245658
2017,112.166141081871,1.30475807671592,85.96700268312846
2018,110.42317934106,1.33841214646451,82.50312105486263
2019,109.009665900863,1.43850654421382,75.77974972678315
2020,106.774582262437,1.45308511847016,73.48129913741847
2021,109.754323839417,1.33122425957081,82.4461566489196
2022,131.498140443764,1.44166445896522,91.21272264570432
2023,140.49110006234,1.50519106560509,93.33771856123946
2024,151.366291302752,1.51535803855596,99.88813696266425
