year,quarter,mineral,expenditure_aud_million
1995,3,gold,132.7
1995,3,iron_ore,4.9
1995,3,uranium,2.1
1995,4,all_minerals,229.3
1995,4,coal,12.1
1995,4,gold,143.7
1995,4,iron_ore,1.1
1995,4,uranium,2.3
1996,1,all_minerals,219.0
1996,1,coal,10.8
1996,1,gold,123.3
1996,1,iron_ore,3.6
1996,1,uranium,
1996,2,all_minerals,284.9
1996,2,coal,17.1
1996,2,gold,147.4
1996,2,iron_ore,4.5
1996,2,uranium,
1996,3,all_minerals,274.2
1996,3,coal,15.4
1996,3,gold,165.5
1996,3,iron_ore,6.1
1996,3,uranium,3.8
1996,4,all_minerals,291.6
1996,4,coal,16.9
1996,4,gold,186.8
1996,4,iron_ore,3.8
1996,4,uranium,1.9
1997,1,all_minerals,235.6
1997,1,coal,15.7
1997,1,gold,150.1
1997,1,iron_ore,6.6
1997,1,uranium,2.2
1997,2,all_minerals,347.2
1997,2,coal,22.5
1997,2,gold,225.9
1997,2,iron_ore,9.3
1997,2,uranium,5.1
1997,3,all_minerals,301.8
1997,3,coal,19.1
1997,3,gold,196.7
1997,3,iron_ore,4.0
1997,3,uranium,4.9
1997,4,all_minerals,282.0
1997,4,coal,21.3
1997,4,gold,163.9
1997,4,iron_ore,6.3
1997,4,uranium,6.2
1998,1,all_minerals,220.4
1998,1,coal,12.5
1998,1,gold,136.1
1998,1,iron_ore,7.1
1998,1,uranium,5.1
1998,2,all_minerals,262.6
1998,2,coal,11.9
1998,2,gold,151.7
1998,2,iron_ore,12.6
1998,2,uranium,6.0
1998,3,all_minerals,235.9
1998,3,coal,9.6
1998,3,gold,134.3
1998,3,iron_ore,12.6
1998,3,uranium,7.4
1998,4,all_minerals,239.6
1998,4,coal,9.4
1998,4,gold,139.8
1998,4,iron_ore,13.7
1998,4,uranium,3.6
1999,1,all_minerals,167.3
1999,1,coal,9.8
1999,1,gold,99.4
1999,1,iron_ore,7.2
1999,1,uranium,1.4
1999,2,all_minerals,195.0
1999,2,coal,11.1
1999,2,gold,112.7
1999,2,iron_ore,8.1
1999,2,uranium,3.1
1999,3,all_minerals,180.1
1999,3,coal,9.5
1999,3,gold,101.5
1999,3,iron_ore,8.8
1999,3,uranium,4.8
1999,4,all_minerals,176.9
1999,4,coal,9.2
1999,4,gold,91.6
1999,4,iron_ore,
1999,4,uranium,3.7
2000,1,all_minerals,136.7
2000,1,coal,7.9
2000,1,gold,71.9
2000,1,iron_ore,5.0
2000,1,uranium,
2000,2,all_minerals,182.7
2000,2,coal,8.7
2000,2,gold,109.8
2000,2,iron_ore,
2000,2,uranium,
2000,3,all_minerals,169.8
2000,3,coal,9.2
2000,3,gold,92.5
2000,3,iron_ore,7.2
2000,3,uranium,
2000,4,all_minerals,187.2
2000,4,coal,9.3
2000,4,gold,97.5
2000,4,iron_ore,7.4
2000,4,uranium,2.9
2001,1,all_minerals,143.5
2001,1,coal,7.6
2001,1,gold,83.3
2001,1,iron_ore,3.4
2001,1,uranium,1.1
2001,2,all_minerals,182.8
2001,2,coal,15.1
2001,2,gold,96.8
2001,2,iron_ore,5.4
2001,2,uranium,
2001,3,all_minerals,167.4
2001,3,coal,11.9
2001,3,gold,86.4
2001,3,iron_ore,4.4
2001,3,uranium,3.0
2001,4,all_minerals,170.7
2001,4,coal,14.4
2001,4,gold,84.2
2001,4,iron_ore,6.9
2001,4,uranium,2.1
2002,1,all_minerals,134.2
2002,1,coal,10.2
2002,1,gold,73.9
2002,1,iron_ore,7.4
2002,1,uranium,0.9
2002,2,all_minerals,168.3
2002,2,coal,13.9
2002,2,gold,86.8
2002,2,iron_ore,6.5
2002,2,uranium,2.7
2002,3,all_minerals,182.9
2002,3,coal,16.0
2002,3,gold,95.2
2002,3,iron_ore,9.0
2002,3,uranium,2.5
2002,4,all_minerals,192.8
2002,4,coal,21.1
2002,4,gold,99.3
2002,4,iron_ore,14.1
2002,4,uranium,2.0
2003,1,all_minerals,153.4
2003,1,coal,14.0
2003,1,gold,84.6
2003,1,iron_ore,11.2
2003,1,uranium,0.7
2003,2,all_minerals,203.7
2003,2,coal,26.7
2003,2,gold,99.3
2003,2,iron_ore,10.2
2003,2,uranium,1.7
2003,3,all_minerals,179.7
2003,3,coal,19.9
2003,3,gold,96.7
2003,3,iron_ore,13.1
2003,3,uranium,3.5
2003,4,all_minerals,199.5
2003,4,coal,24.1
2003,4,gold,93.1
2003,4,iron_ore,17.6
2003,4,uranium,3.0
