year,series_type,industry,value_oku_yen,value_usd_million
2014,flow,chemicals_pharma,64.5970351852768,60.975113446551624
2014,flow,communications,415.13077583625,391.8546118899849
2014,flow,construction,28.795993941125,27.181417728077218
2014,flow,electric_machinery,10.6955268391666,10.09583428277006
2014,flow,farming_forestry,-1.30029394,-1.2273871436662263
2014,flow,finance_insurance,405.904770826135,383.1459041213281
2014,flow,fishery,,
2014,flow,food,129.615504736614,122.34803165623374
2014,flow,general_machinery,21.9166291728979,20.687775318952145
2014,flow,glass_ceramics,,
2014,flow,iron_metals,70.4152198332893,66.46707554586493
2014,flow,lumber_pulp,-26.7946226483854,-25.292262269572774
2014,flow,manufacturing_total,297.551058375151,280.8675272561365
2014,flow,mining,2760.73696681122,2605.943899198811
2014,flow,nonmanufacturing_total,4598.09577838984,4340.282969973419
2014,flow,petroleum,,
2014,flow,precision_machinery,,
2014,flow,real_estate,214.374038611527,202.35419918022183
2014,flow,rubber_leather,,
2014,flow,services,92.7183385197483,87.51967011492194
2014,flow,textile,,
2014,flow,total,4895.64683676499,4621.150497229555
2014,flow,transport_equipment,27.1555993352083,25.632999183696715
2014,flow,transportation,88.719420390475,83.74496921887388
2014,flow,wholesale_retail,487.590902603876,460.25193751545777
2015,flow,chemicals_pharma,126.08586408,104.16875750165234
2015,flow,communications,-458.02651511,-378.40921605254454
2015,flow,construction,112.21143552,92.7060769332452
2015,flow,electric_machinery,-19.36107865,-15.99560364342366
2015,flow,farming_forestry,-5.73293,-4.7363929279576995
2015,flow,finance_insurance,87.53802097,72.32156392101784
2015,flow,fishery,,
2015,flow,food,5.56274909,4.59579402676801
2015,flow,general_machinery,13.78613073,11.389731270654329
2015,flow,glass_ceramics,,
2015,flow,iron_metals,-320.92562427,-265.14013902015864
2015,flow,lumber_pulp,-4.4856054,-3.705886814276272
2015,flow,manufacturing_total,-86.17315282,-71.1939464805023
2015,flow,mining,728.52978257,601.8917569150693
2015,flow,nonmanufacturing_total,8223.87623382,6794.345864028419
2015,flow,petroleum,15.97986465,13.20213536847323
2015,flow,precision_machinery,,
2015,flow,real_estate,174.49738432,144.1650564441507
2015,flow,rubber_leather,5.19874366,4.295062508261731
2015,flow,services,799.4159907,660.4560399041638
2015,flow,textile,,
2015,flow,total,8137.703081,6723.151917547918
2015,flow,transport_equipment,91.78965329,75.83414845505618
2015,flow,transportation,6192.03881054,5115.696307452082
2015,flow,wholesale_retail,554.70754643,458.2844897802379
2016,flow,chemicals_pharma,54.79197785,50.36490288629469
2016,flow,communications,-5.05731249,-4.648692425774428
2016,flow,construction,31.82780022,29.256181836565858
2016,flow,electric_machinery,-24.85582201,-22.847524597849066
2016,flow,farming_forestry,11.3487,10.431749241658238
2016,flow,finance_insurance,904.52074715,831.4373997150474
2016,flow,fishery,,
2016,flow,food,-68.91562571,-63.347390118577074
2016,flow,general_machinery,48.50454818,44.58548412537917
2016,flow,glass_ceramics,,
2016,flow,iron_metals,465.91191008,428.26722132548946
2016,flow,lumber_pulp,-7.04602278,-6.476719165364464
2016,flow,manufacturing_total,527.77259511,485.12969492600416
2016,flow,mining,2123.18028849,1951.6318489658975
2016,flow,nonmanufacturing_total,5204.71844953,4784.188298124827
2016,flow,petroleum,,
2016,flow,precision_machinery,,
2016,flow,real_estate,232.34344045,213.5705859453994
2016,flow,rubber_leather,,
2016,flow,services,381.87333567,351.01878451144404
2016,flow,textile,,
2016,flow,total,5732.49104464,5269.317993050831
2016,flow,transport_equipment,57.15113483,52.53344501332843
2016,flow,transportation,10.71837374,9.852351999264638
2016,flow,wholesale_retail,1081.02308712,993.6787270153504
2017,flow,chemicals_pharma,203.52192233,181.55390038358607
2017,flow,communications,127.71076953,113.9257533719893
2017,flow,construction,126.93574065,113.23438059768066
2017,flow,electric_machinery,-9.13222247,-8.14649640499554
2017,flow,farming_forestry,-3.69103375,-3.2926260035682424
2017,flow,finance_insurance,-254.36992432,-226.91340260481712
2017,flow,fishery,,
2017,flow,food,88.63948358,79.07179623550401
2017,flow,general_machinery,665.80821897,593.9413193309546
2017,flow,glass_ceramics,,
2017,flow,iron_metals,-70.46872126,-62.86237400535236
2017,flow,lumber_pulp,-33.49891395,-29.883063291703838
2017,flow,manufacturing_total,925.47323912,825.5782686173061
2017,flow,mining,2768.47913921,2469.651328465656
2017,flow,nonmanufacturing_total,4178.3744303,3727.363452542373
2017,flow,petroleum,10.82794211,9.65918118644068
2017,flow,precision_machinery,,
2017,flow,real_estate,309.07992164,275.7180389295272
2017,flow,rubber_leather,,
2017,flow,services,357.2354144,318.6756595896521
2017,flow,textile,,
2017,flow,total,5103.84766942,4552.941721159679
2017,flow,transport_equipment,68.12931128,60.77547839429081
2017,flow,transportation,19.31216387,17.227621650312223
2017,flow,wholesale_retail,527.06552872,470.1744234790366
2018,flow,chemicals_pharma,21.69162391,19.64465124977359
2018,flow,communications,17.7082019,16.03713267523999
2018,flow,construction,998.22060279,904.0215565930084
2018,flow,electric_machinery,-43.55336921,-39.44337005071545
2018,flow,farming_forestry,-17.5764584,-15.917821409165006
2018,flow,finance_insurance,-288.52314761,-261.29609455714547
2018,flow,fishery,,
2018,flow,food,-2603.26150152,-2357.5996210106864
2018,flow,general_machinery,29.59672437,26.803771391052347
2018,flow,glass_ceramics,,
2018,flow,iron_metals,0.7304582,0.661527078427821
2018,flow,lumber_pulp,25.69422914,23.269542782104693
2018,flow,manufacturing_total,-2515.36447693,-2277.9971716446294
2018,flow,mining,3056.5483881,2768.111200959971
2018,flow,nonmanufacturing_total,4828.52731698,4372.873860695527
2018,flow,petroleum,-0.47881842,-0.4336337801122985
2018,flow,precision_machinery,,
2018,flow,real_estate,114.85411307,104.01567928817244
2018,flow,rubber_leather,,
2018,flow,services,225.06640041,203.82756784097083
2018,flow,textile,,
2018,flow,total,2313.16284005,2094.8766890508964
2018,flow,transport_equipment,48.90874076,44.29337145444666
2018,flow,transportation,26.20679964,23.7337435609491
2018,flow,wholesale_retail,636.94116582,576.8349627060315
2019,flow,chemicals_pharma,2701.55638911,2478.264736363636
2019,flow,communications,-0.0844901,-0.07750674250068801
2019,flow,construction,366.67945452,336.37230943950095
2019,flow,electric_machinery,-81.56570785,-74.82406004036326
2019,flow,farming_forestry,-7.1432762,-6.5528632235574715
2019,flow,finance_insurance,4346.70097959,3987.4332442803416
2019,flow,fishery,,
2019,flow,food,854.17693052,783.576672341987
2019,flow,general_machinery,50.77793468,46.58098768920282
2019,flow,glass_ceramics,,
2019,flow,iron_metals,-6.83353031,-6.268718750573343
2019,flow,lumber_pulp,17.33596305,15.903094257407577
2019,flow,manufacturing_total,3585.34557081,3289.006119447757
2019,flow,mining,2124.59346561,1948.989510696266
2019,flow,nonmanufacturing_total,7527.94259015,6905.735795018805
2019,flow,petroleum,,
2019,flow,precision_machinery,,
2019,flow,real_estate,5.33551667,4.894520383451058
2019,flow,rubber_leather,,
2019,flow,services,142.31358277,130.55094282175946
2019,flow,textile,,
2019,flow,total,11113.28816095,10194.741914457389
2019,flow,transport_equipment,41.84005599,38.38185119713788
2019,flow,transportation,-158.73760209,-145.61746820475184
2019,flow,wholesale_retail,717.19816249,657.9196059902761
2020,flow,chemicals_pharma,316.12985751,296.05718066117254
2020,flow,communications,9.17042516,8.588148679528002
2020,flow,construction,70.34091712,65.8746180183555
2020,flow,electric_machinery,-104.16674688,-97.55267548230006
2020,flow,farming_forestry,53.06257343,49.69336339202098
2020,flow,finance_insurance,810.6420702,759.1703223450085
2020,flow,fishery,0.59723356,0.5593121932946244
2020,flow,food,12361.9913705,11577.066276924517
2020,flow,general_machinery,50.8075628,47.58153474433414
2020,flow,glass_ceramics,,
2020,flow,iron_metals,-13.43515078,-12.58208539052257
2020,flow,lumber_pulp,1183.71982635,1108.5594927420864
2020,flow,manufacturing_total,13827.92024561,12949.915944568269
2020,flow,mining,162.56597179,152.2438394736842
2020,flow,nonmanufacturing_total,2173.33480229,2035.338829640382
2020,flow,petroleum,,
2020,flow,precision_machinery,,
