Year,"Value ($, Thousands)",Tonnes (Thousands)
1964,30388,3587
1965,48084,5756
1966,59476,7314
1967,68707,8540
1968,82714,10021
1969,114218,13663
1970,153566,16521
1971,172133,16494
1972,197786,18192
1973,260254,23081
1974,303280,23635
1975,561747,24320
1976,847821,22630
1977,1045708,26866
1978,1107491,26427
1979,1081072,25611
1980,1220626,28560
1981,1401560,32770
1982,1561441,31140
