"Level of investment, by components, 31 December 2025"
,"Foreign Investment in Australia ($b)","Australian Investment Abroad ($b)"
"Direct Investment","1,302.3","1,217.5"
"Portfolio Investment - equity","980.0","1,759.6"
"Portfolio Investment - debt","1,747.7","541.3"
"Financial Derivatives","322.9","299.4"
"Other Investment","763.4","547.6"
"Reserve Assets","0.0","112.5"

" Source: Australian Bureau of Statistics, International Investment Position, Australia: Supplementary Statistics 2025"
