"Foreign investment in Australia, Direct investment transactions, by country/country group, by year"
,"Total all countries ($b)","United States of America ($b)","United Kingdom ($b)","EU ($b)","Japan ($b)","ASEAN ($b)","Hong Kong (SAR of China) ($b)","New Zealand ($b)","Canada ($b)","China (excludes SARs and Taiwan) ($b)"
"2021","35.9","-7.8","9.3","8.3","2.1","9.1","2.9","-0.7","9.0","0.6"
"2022","93.0","21.3","15.5","9.3","5.8","-3.3","5.5","1.5","23.9","-8.2"
"2023","51.0","40.5","21.0","-5.0","8.9","1.4","0.5","-0.2","-1.0","-0.6"
"2024","77.9","12.8","8.1","16.1","19.8","3.4","2.8","-0.1","1.8","0.7"
"2025","54.7","13.5","4.0","13.8","5.6","7.0","0.2","0.0","1.1","3.5"

" Source: Australian Bureau of Statistics, International Investment Position, Australia: Supplementary Statistics 2025"
