"Level of foreign investment in Australia, by country/country group, by year"
,"Total all countries ($b)","United States of America ($b)","United Kingdom ($b)","EU ($b)","Japan ($b)","ASEAN ($b)","Hong Kong (SAR of China) ($b)","New Zealand ($b)","Canada ($b)","China (excludes SARs and Taiwan) ($b)"
"2021","4,171.522197","1,055.3","677.3","767.8","258.2","156.6","135.5","71.1","76.6","91.5"
"2022","4,598.807837","1,107.4","965.2","743.5","265.3","182.4","146.1","75.4","102.9","79.7"
"2023","4,634.00861","1,162.9","878.0","791.5","272.1","179.6","153.8","81.0","100.8","79.1"
"2024","4,964.716307","1,352.3","835.4","892.8","289.6","180.3","182.4","87.5","107.7","70.9"
"2025","5,116.298787","1,361.2","840.1","965.9","286.4","189.6","172.4","85.5","107.0","86.7"

" Source: Australian Bureau of Statistics, International Investment Position, Australia: Supplementary Statistics 2025"
