year,aus_energy_imports_pct_use,aus_energy_use_per_capita_kgoe,aus_exports_goods_services_current_usd,aus_gdp_constant_2015_usd,aus_gdp_current_usd,aus_industry_value_added_current_usd,jpn_energy_imports_pct_use,jpn_energy_use_per_capita_kgoe,jpn_exports_goods_services_current_usd,jpn_gdp_constant_2015_usd,jpn_gdp_current_usd,jpn_industry_value_added_current_usd,coal_australian_usd_per_mt,iron_ore_cfr_spot_usd_per_dmtu,lng_japan_usd_per_mmbtu,jpy_per_usd,aud_per_usd,jpy_per_aud,export_all_commodities_usd_to_jpn,export_coal_usd_to_jpn,export_coke_usd_to_jpn,export_iron_ore_usd_to_jpn,export_lng_usd_to_jpn,export_lng_strict_usd_to_jpn,fdi_flow_usd_million,fdi_stock_usd_million,japan_lng_contracted_mtpa,export_energy_usd_to_jpn,export_all_commodities_usd_to_world,export_coal_usd_to_world,export_coke_usd_to_world,export_iron_ore_usd_to_world,export_lng_usd_to_world,export_lng_strict_usd_to_world,chn_gdp_current_usd,export_coal_usd_to_world_raw,export_lng_usd_to_world_raw,export_coal_usd_to_exjpn,export_lng_usd_to_exjpn,export_energy_usd_to_world,export_energy_usd_to_exjpn
1962,,,2773120443.69927,212901615358.772,19953923192.6277,,,,,726717361028.429,64987857541.6256,,,11.01,,360.000000359,0.892856999892857,403.20006496247447,435548832.0,41002976.0,,1235126.0,,,,,0.0,41002976.0,,41002976.0,,,,,47310737754.2287,,,0.0,,41002976.0,0.0
1963,,,2796640447.46247,226132122992.082,21573443451.751,,,,,788296791335.656,74379284603.3875,,,11.02,,360.000000359,0.892856999892857,403.20006496247447,514362752.0,40725940.0,,1292811.0,,,,,0.0,40725940.0,2784651264.0,40725940.0,,660877.0,162619.0,,50812227918.5753,30427764.0,162619.0,0.0,,40888559.0,0.0
1964,,,3549280567.88489,241910654447.632,23835843813.735,,,,,880343907381.489,87490590817.9803,,,10.24,,360.000000359,0.892856999892857,403.20006496247447,581828672.0,58394872.0,,902390.0,,,,,0.0,58394872.0,3035835904.0,58394872.0,,439307.0,240526.0,,59821862703.4023,47140884.0,240526.0,0.0,,58635398.0,0.0
1965,,,3428320548.53129,256370876810.039,26014244162.2791,,,,,931577351068.687,97338107605.8236,,,10.66166666667,,360.000000359,0.892856999892857,403.20006496247447,552140032.0,89130000.0,,2992866.0,,,,,0.0,89130000.0,2971081472.0,89130000.0,,1874735.0,381379.0,,70565994356.1828,69002608.0,381379.0,0.0,,89511379.0,0.0
1966,,,3525760564.12169,262475153273.507,27349284375.8855,,,,,1030683781033.35,113046784179.289,,,9.52,,360.000000359,0.892856999892857,403.20006496247447,679677248.0,106366336.0,,24727784.0,186853.0,,,,0.0,106553189.0,3080766720.0,106366336.0,,18366372.0,548056.0,,76854053259.209,75322736.0,548056.0,0.0,361203.0,106914392.0,361203.0
1967,,,3915520626.4833,279029197366.433,30487524878.004,,,,,1144905624564.99,132475614226.519,,,8.86,,360.000000359,0.892856999892857,403.20006496247447,792452935.0,118656804.0,,97710121.0,9072.0,,,,0.0,118665876.0,3367653437.0,118656804.0,,83754241.0,151297.0,,73011350596.2485,88521659.0,151297.0,0.0,142225.0,118808101.0,142225.0
1968,,,4016320642.6113,293246097179.704,32763365242.1384,,,,,1292397726863.45,156897496759.128,,,8.77,,360.000000359,0.892856999892857,403.20006496247447,921362472.0,156768007.0,,163870277.0,17912.0,,,,0.0,156785919.0,3401391304.0,156768007.0,,156843295.0,135646.0,,70980323818.7853,116772874.0,135646.0,0.0,117734.0,156903653.0,117734.0
1969,,,4378080700.49291,313912916257.011,36738245878.1193,,,,,1453661751929.24,184298841304.667,,,9.84,,360.000000359,0.892856999892857,403.20006496247447,1243471232.0,211742912.0,,273473088.0,,,,,0.0,211742912.0,4045036984.0,211742912.0,,257377456.0,144199.0,,79847786729.1898,165642747.0,144199.0,0.0,,211887111.0,0.0
1970,,,5354720856.75534,336435225747.478,41395206623.2331,,,,22026785841.6667,1459462598521.52,217223652719.444,,7.8,9.84,,360.000000359,0.892856999892857,403.20006496247447,1507805568.0,248847488.0,,421657440.0,3312662.0,,,,0.0,252160150.0,4621202953.0,248847488.0,,363866364.0,3312662.0,,92752930873.1912,209948309.0,2682019.0,0.0,0.0,252160150.0,0.0
1971,,,5715360914.45775,349895953946.509,45283847245.4156,,,,26966713726.0225,1528042629882.78,245364056622.363,,8.68,10.33,,350.677693533362,0.882670259295548,397.29184238430673,1749050368.0,265271264.0,,515594304.0,10920603.0,,,,0.0,276191867.0,5072647199.0,265271264.0,,458651095.0,10920603.0,,99959013879.6308,246977703.0,7572764.0,0.0,0.0,276191867.0,0.0
