Agencies,ProjID,ProjName,PrimTech,Lat,Long
ARENA,2012/ASI011,"1-GER003: UNSW, Si nanocrystals embedded in silicon oxide and nitride as nanoscale heterojunction for third generation photovoltaics",Solar PV,-33.910275,151.22337
ARENA,2012/ASI012,"1-GER005: Blue Scope Steel, Expanding the Value Proposition for Building Integrated Photovoltaics (BIPV): Thin Film Building Integrated Photovoltaic Thermal (BIPVT) retrofitting of buildings.",Solar PV,-34.400344,150.899829
ARENA,2012/ASI013,"1-GER006: ANU, Local doping using Laser Chemical Processing (LCP) technology for advanced silicon solar cells",Solar PV,-35.276325,149.120265
ARENA,2012/ASI014,"1-GER010: UNSW, Time- and spectrally resolved Photoluminescence for Silicon Solar Cell Characterisation",Solar PV,-33.910275,151.22337
ARENA,2012/ASI018,1-UFA002:UNSW: Multi-Junction c-Si Solar Cells Based on Virtual Ge Substrates,Solar PV,-33.910275,151.22337
ARENA,2012/ASI019,1-UFA003:UNSW:Towards a practical Hot Carrier Solar Cell,Solar PV,-33.910275,151.22337
ARENA,2012/ASI020,1-UFA004:CSIRO:Solar-driven Supercritical CO2 Brayton Cycle,Solar Thermal,-32.884541,151.728686
ARENA,2012/ASI021,1-UFA005:CSIRO: Improving Translation Models for Predicting the Energy Yield of Photovoltaic Power Systems,Solar PV,-32.884541,151.728686
ARENA,2012/ASI022,1-UFA006:ANU: Improved High-Temperature Receivers for Dish Concentrators,Solar Thermal,-35.283,149.113
ARENA,2012/ASI023,1-UFA007:CSIRO:Integrated Solar Radiation Data Sources over Australia,Enabling,-38.031627,145.143114
ARENA,2012/ASI026,1-USO018:Brisbane Materials Technology Pty Ltd: A pilot-scale plant for the production of solar anti-reflection (AR) coatings,Solar PV,-27.579506,152.948214
ARENA,2012/ASI027,1-USO022: APVA: Development of a Climate-based PV Module Rating Scheme,Solar PV,-33.910275,151.22337
ARENA,2012/ASI028,1-USO026: APVA: Consumer & Utility Interest in Active Participation in the Distributed Energy Market,Enabling,-33.910275,151.22337
ARENA,2012/ASI031,1-USO032:CSIRO: Plug and Play Solar Power: Simplifying the Integration of Solar Energy in Hybrid Applications,Solar PV,-32.884541,151.728686
ARENA,2012/ASI036,"2-A002: UNSW, 40% Efficient Photovoltaic ?ö?ç?úPower Cube?ö?ç?ÿ Power Tower Receiver",Solar PV,-33.910275,151.22337
ARENA,2012/ASI040,"2-A014A: UNSW/Suntech, Next Generation Crystalline Silicon on Glass Modules",Solar PV,-33.910275,151.22337
ARENA,2012/ASI046,"3-A003: Vast Solar, Validation of Performance modelling for 1.2MWth solar array with high temperature receiver and integrated thermal storage",Solar Thermal,-33.404878,147.648328
ARENA,2012/ASI048,"3-A006: CSIRO, Evaluation and Demonstration of Hybridisation of Concentrated Solar Thermal (CST) Technology with Carbon Capture and Storage (CCS)",Solar Thermal,-32.884541,151.728686
ARENA,2012/ASI049,"3-A009: CAT Projects, Analysis of Variations in Instantaneous Weather Effects across the Geographic Boundaries of an Electricity Grid, and the Development of an Improved Estimate for Maximum Solar Grid Penetration without Energy Storage",Enabling,-23.75759,133.882726
ARENA,2012/ASI051,"3-A012A: CSIRO, Hybrid Concentrating Solar Thermal Systems for Large-Scale Applications",Solar Thermal,-32.891803,151.708914
ARENA,2012/ASI053,"3-A017: Granite Power, Solar Supercritical Organic Rankine Cycle for Power and Industrial Heat",Solar Thermal,-32.893846,151.670642
ARENA,2012/ASI054,"3-A018: CSIRO, Solar Hybrid Fuels",Solar Thermal,-32.884541,151.728686
ARENA,2012/ASI055,"3-A019: Barbara Hardy Institute, Development of high temperature phase change storage systems and a test facility",Enabling,-34.810967,138.620623
ARENA,2012/ASI056,"3-A020: CSIRO, Solar Energy Management System (SEM) for Utilities",Enabling,-32.891803,151.708914
ARENA,2012/ASI060,Staged Development of an Interactive Australian PV Solar Mapping Resourcep,Enabling,-33.910275,151.22337
ARENA,2012/ASI061,AUSTELA- Improving accessibility of System Advisor Model,Enabling,-33.885842,151.200362
ARENA,2012/ASI063,Utility-scale solar installations: social license to operate in Australia,Enabling,-33.834769,151.209102
ARENA,2012/ASI064,MOR - Community owned solar,Enabling,-34.88886,138.67721
ARENA,2012/ASI065,The Daly River Generator-Solar-Load-Optimisation Project,Solar PV,-13.74953,130.69292
ARENA,2012/ERP001,Renewable Energy Production from Almond Waste,Bioenergy,-34.43926,140.593191
ARENA,2012/ERP004,Low cost building-integrated photovoltaics (BIPV) for Australian residential and commercial/industrial rooftop power generation,Solar PV,-34.400344,150.899829
ARENA,2012/ERP005,The Perth Wave Energy Project (PWEP),Marine,-32.241153,115.682045
ARENA,2012/ERP006,Data Fusion and Machine Learning for Geothermal Target Exploration and Measurement,Geothermal,-33.877487,151.20799
ARENA,2012/ERP008,Feasibility Study of Australian Feedstock and Refining Capacity to produce Alternative Aviation Fuel,Bioenergy,-33.925164,151.185601
ARENA,2012/ERP010,An Advanced Biomass Gasification Technology,Bioenergy,-31.994499,115.888595
ARENA,2012/ERP012,SACGER - Reservoir Quality in Sedimentary Geothermal Resources,Geothermal,-34.9194,138.60566
ARENA,2012/ERP013,Achieving cost-effective abatement from Australian electricity generation,Enabling,-37.797121,144.965009
ARENA,2012/ERP014,Developing Fish Friendly Design Criteria for small hydro facilities,Enabling,-33.885506,151.277797
ARENA,2012/JCU001,High Energy Algal Fuels Project,Bioenergy,-19.329393,146.761099
ARENA,2012/PFD001,"2-S008: UNSW, Jae Sung Yun, Material characteristics of crystalline Si thin-film solar cells",Solar PV,-33.910275,151.22337
ARENA,2012/PFD008,"2-F005: Wensheng Yan, More cost-effective, large-area amorphous silicon ultrathin film plasmonic solar cells towards industrial application",Solar PV,-37.822195,145.037707
ARENA,2012/PFD009,"2-F007: Thilini Ishwara, Solar efficiency optimisation of hybrid organic-inorganic solar cells",Solar PV,-33.910275,151.22337
ARENA,2012/PFD011,"2-F013: Philip van Eyk, Solar gasification ?ö?ç?? using renewable energy to produce lower-carbon, high-value liquid transport fuels using low grade carbonaceous feedstocks",Solar Thermal,-34.919054,138.605412
ARENA,2012/PFD012,"2-F020: Niraj Lal, Light trapping for tandem solar cells",Solar PV,-35.274441,149.120405
ARENA,2012/PFD015,"2-S003 Monash Alex Pascoe, Trapping, detrapping and loss mechanisms in dye sensitised solar cells",Solar PV,-37.915956,145.138736
ARENA,2012/PFD016,"2-S004: Uni of Sydney, Bjorn Sturmberg, Nanostructured and metamaterial photovoltaics",Solar PV,-33.867487,151.20699
ARENA,2012/PFD017,"2-S006: RMIT, Ahmad Mojiri, Spectral beam splitting for improving the energy conversion efficiency in hybrid concentrating solar collectors",Solar Thermal,-37.80828,144.963642
ARENA,2012/PFD018,"2-S010: Uni South Australia, Shane Sheoran, A direct contact heat exchanger for high temperature thermal storage in solar power plants",Solar Thermal,-34.810967,138.620623
ARENA,2012/PFD019,"2-S011: UNSW, Simon Heslop, Facilitating high penetration PV integration into the electricity network",Enabling,-33.910275,151.22337
ARENA,2012/PFD020,"2-S013: Murdoch, Tobias Prosin, Development of a state of the art solid particle receiver CST system, optimised for commercialisation in the Australian market",Solar Thermal,-32.069295,115.833852
ARENA,2012/PFD021,"2-S014: ANU, James Bullock, Understanding and optimising dielectric charge in industry applicable solar cells",Solar PV,-35.274441,149.120405
ARENA,2012/PFD022,"2-S015: Uni Newcastle, Dylan Cuskelly, Thermionic emissions from MAX phase materials",Solar Thermal,-32.925689,151.77792
